date,total_sales,total_orders
2016-09-04,272.46,1
2016-09-05,75.06,1
2016-09-13,40.95,1
2016-09-15,0.0,1
2016-10-02,109.34,1
2016-10-03,595.14,8
2016-10-04,14075.31,63
2016-10-05,16319.57,47
2016-10-06,11645.27,51
2016-10-07,10492.23,46
2016-10-08,10837.87,42
2016-10-09,6895.09,26
2016-10-10,5088.36,39
2016-10-22,61.99,1
2016-12-23,19.62,1
2017-01-05,707.27,32
2017-01-06,988.28,4
2017-01-07,2294.5099999999998,4
2017-01-08,809.63,6
2017-01-09,882.63,5
2017-01-10,1571.17,6
2017-01-11,3062.33,12
2017-01-12,3256.45,13
2017-01-13,2903.9700000000003,12
2017-01-14,1507.36,18
2017-01-15,3556.48,14
2017-01-16,5294.02,19
2017-01-17,4742.07,32
2017-01-18,4898.54,33
2017-01-19,5799.98,29
2017-01-20,8306.46,29
2017-01-21,6671.86,24
2017-01-22,5091.599999999999,31
2017-01-23,10151.1,39
2017-01-24,9629.76,40
2017-01-25,12596.65,63
2017-01-26,18881.29,86
2017-01-27,16037.99,62
2017-01-28,5987.98,29
2017-01-29,9474.34,35
2017-01-30,26778.75,53
2017-01-31,17133.19,70
2017-02-01,11093.53,73
2017-02-02,11854.56,69
2017-02-03,12712.47,60
2017-02-04,17974.06,67
2017-02-05,12141.24,75
2017-02-06,12255.9,85
2017-02-07,22192.55,112
2017-02-08,16217.77,95
2017-02-09,12017.19,77
2017-02-10,17648.34,66
2017-02-11,6554.84,49
2017-02-12,17211.37,64
2017-02-13,16132.33,78
2017-02-14,19003.71,76
2017-02-15,8663.64,62
2017-02-16,8647.8,55
2017-02-17,11948.3,46
2017-02-18,13267.33,54
2017-02-19,4913.28,40
2017-02-20,10772.58,63
2017-02-21,11017.15,41
2017-02-22,10848.53,63
2017-02-23,14871.58,59
2017-02-24,9898.21,64
2017-02-25,7018.62,43
2017-02-26,7645.64,46
2017-02-27,8805.61,43
2017-02-28,16373.8,55
2017-03-01,23275.079999999998,99
2017-03-02,14818.23,72
2017-03-03,15974.58,74
2017-03-04,18476.55,80
2017-03-05,10883.02,74
2017-03-06,15934.46,105
2017-03-07,19087.99,82
2017-03-08,21757.76,79
2017-03-09,19842.82,93
2017-03-10,17167.08,88
2017-03-11,15222.7,71
2017-03-12,8778.92,64
2017-03-13,20573.32,111
2017-03-14,22128.65,99
2017-03-15,20709.57,108
2017-03-16,24188.43,103
2017-03-17,16127.26,65
2017-03-18,19397.72,73
2017-03-19,8395.68,56
2017-03-20,23558.56,119
2017-03-21,17003.25,97
2017-03-22,20234.93,105
2017-03-23,30982.7,114
2017-03-24,15134.18,79
2017-03-25,14454.1,76
2017-03-26,8600.82,64
2017-03-27,22562.670000000002,111
2017-03-28,17964.33,103
2017-03-29,12499.55,74
2017-03-30,14626.82,74
2017-03-31,14376.5,70
2017-04-01,21242.64,68
2017-04-02,18305.97,65
2017-04-03,14773.34,72
2017-04-04,17230.36,96
2017-04-05,21421.09,96
2017-04-06,43173.64,96
2017-04-07,16888.56,85
2017-04-08,11688.88,68
2017-04-09,11017.89,73
2017-04-10,14921.98,87
2017-04-11,11654.87,78
2017-04-12,9932.82,63
2017-04-13,12476.96,60
2017-04-14,11502.1,54
2017-04-15,9979.54,52
2017-04-16,7187.76,49
2017-04-17,11472.04,65
2017-04-18,26631.78,71
2017-04-19,17429.04,97
2017-04-20,20299.58,98
2017-04-21,12732.67,68
2017-04-22,18109.16,84
2017-04-23,12579.33,88
2017-04-24,30177.64,115
2017-04-25,20349.01,111
2017-04-26,22207.64,125
2017-04-27,16205.460000000001,80
2017-04-28,21199.05,98
2017-04-29,18021.92,74
2017-04-30,10078.83,68
2017-05-01,16929.51,117
2017-05-02,23415.16,128
2017-05-03,13619.04,103
2017-05-04,20071.98,109
2017-05-05,19149.48,111
2017-05-06,22754.64,109
2017-05-07,22098.44,111
2017-05-08,26054.84,124
2017-05-09,38705.12,128
2017-05-10,32746.87,116
2017-05-11,25940.22,126
2017-05-12,17798.54,115
2017-05-13,12422.55,73
2017-05-14,20277.89,112
2017-05-15,28766.53,157
2017-05-16,30796.399999999998,153
2017-05-17,24187.38,141
2017-05-18,27611.75,125
2017-05-19,31026.8,144
2017-05-20,14080.06,72
2017-05-21,22854.56,148
2017-05-22,32192.68,148
2017-05-23,24903.84,125
2017-05-24,30970.37,142
2017-05-25,23528.36,108
2017-05-26,15591.2,80
2017-05-27,22252.77,83
2017-05-28,12767.72,98
2017-05-29,25154.5,160
2017-05-30,24539.48,105
2017-05-31,27808.41,129
2017-06-01,23534.75,124
2017-06-02,22868.170000000002,127
2017-06-03,18662.010000000002,89
2017-06-04,16784.15,102
2017-06-05,31032.9,147
2017-06-06,21646.06,134
2017-06-07,17888.08,129
2017-06-08,30372.62,137
2017-06-09,21910.76,108
2017-06-10,10901.94,77
2017-06-11,22343.97,115
2017-06-12,28915.15,126
2017-06-13,19087.56,126
2017-06-14,28639.8,131
2017-06-15,17852.28,108
2017-06-16,15988.32,97
2017-06-17,15122.34,75
2017-06-18,21333.01,90
2017-06-19,30634.16,156
2017-06-20,23604.170000000002,94
2017-06-21,7834.780000000001,35
2017-06-22,11885.72,88
2017-06-23,17154.84,107
2017-06-24,11774.18,76
2017-06-25,23464.14,105
2017-06-26,18494.31,72
2017-06-27,22851.16,141
2017-06-28,22127.44,120
2017-06-29,16845.67,114
2017-06-30,17336.94,95
2017-07-01,18279.06,80
2017-07-02,16329.6,108
2017-07-03,23094.45,118
2017-07-04,19637.22,125
2017-07-05,29062.57,145
2017-07-06,31307.58,154
2017-07-07,20749.77,121
2017-07-08,13070.38,84
2017-07-09,12165.21,94
2017-07-10,27097.91,143
2017-07-11,31095.739999999998,165
2017-07-12,26366.79,153
2017-07-13,22767.46,137
2017-07-14,25496.71,149
2017-07-15,16145.24,98
2017-07-16,23991.24,114
2017-07-17,33885.3,168
2017-07-18,41398.81,192
2017-07-19,29997.27,153
2017-07-20,29723.18,142
2017-07-21,25917.62,115
2017-07-22,17581.760000000002,88
2017-07-23,14668.44,105
2017-07-24,27859.27,162
2017-07-25,26897.56,153
2017-07-26,18415.97,124
2017-07-27,23614.3,124
2017-07-28,32020.53,132
2017-07-29,22804.21,115
2017-07-30,18904.85,117
2017-07-31,24253.53,148
2017-08-01,34556.03,165
2017-08-02,27149.37,157
2017-08-03,25783.489999999998,148
2017-08-04,26447.58,142
2017-08-05,16053.04,115
2017-08-06,20820.63,109
2017-08-07,32995.63,157
2017-08-08,25051.65,146
2017-08-09,33524.93,144
2017-08-10,28721.57,157
2017-08-11,29254.78,141
2017-08-12,21137.81,98
2017-08-13,21131.59,96
2017-08-14,26457.45,159
2017-08-15,33446.33,194
2017-08-16,37468.88,174
2017-08-17,25618.11,158
2017-08-18,23498.58,147
2017-08-19,19646.26,108
2017-08-20,17610.45,104
2017-08-21,35257.94,177
2017-08-22,24226.56,138
2017-08-23,74810.36,112
2017-08-24,19152.29,128
2017-08-25,20047.9,123
2017-08-26,13289.59,93
2017-08-27,20853.63,119
2017-08-28,30069.39,155
2017-08-29,41402.88,137
2017-08-30,39569.31,181
