date,total_sales,total_orders,lag_1,lag_7,rolling_mean_7,rolling_std_7,month,day,weekday
2016-10-05,16319.57,47,14075.31,272.46,4459.338571428571,7366.7753108114375,10,5,2
2016-10-06,11645.27,51,16319.57,75.06,6112.225714285714,7515.625183963645,10,6,3
2016-10-07,10492.23,46,11645.27,40.95,7605.265714285714,7137.081582455715,10,7,4
2016-10-08,10837.87,42,10492.23,0.0,9153.532857142858,6343.728490293161,10,8,5
2016-10-09,6895.09,26,10837.87,109.34,10122.925714285713,5134.5630952200045,10,9,6
2016-10-10,5088.36,39,6895.09,595.14,10764.814285714285,3870.1083925382814,10,10,0
2016-10-22,61.99,1,5088.36,14075.31,8762.91142857143,5250.463380986572,10,22,5
2016-12-23,19.62,1,61.99,16319.57,6434.347142857143,4946.223628543005,12,23,4
2017-01-05,707.27,32,19.62,11645.27,4871.7757142857145,4749.474679596529,1,5,3
2017-01-06,988.28,4,707.27,10492.23,3514.068571428572,4201.854951040187,1,6,4
2017-01-07,2294.51,4,988.28,10837.87,2293.5885714285714,2688.1147640643862,1,7,5
2017-01-08,809.63,6,2294.51,6895.09,1424.2371428571428,1783.894625472719,1,8,6
2017-01-09,882.63,5,809.63,5088.36,823.4185714285715,756.5647695654311,1,9,0
2017-01-10,1571.17,6,882.63,61.99,1039.0157142857145,717.4405128384375,1,10,1
2017-01-11,3062.33,12,1571.17,19.62,1473.6885714285713,896.3235059662306,1,11,2
2017-01-12,3256.45,13,3062.33,707.27,1837.857142857143,1039.4617685564263,1,12,3
2017-01-13,2903.9700000000003,12,3256.45,988.28,2111.5271428571427,1030.6497165981214,1,13,4
2017-01-14,1507.36,18,2903.9700000000003,2294.51,1999.077142857143,1050.1153288205003,1,14,5
2017-01-15,3556.48,14,1507.36,809.63,2391.4842857142858,1044.7718105222232,1,15,6
2017-01-16,5294.02,19,3556.48,882.63,3021.6828571428573,1285.6457169805597,1,16,0
2017-01-17,4742.07,32,5294.02,1571.17,3474.6685714285713,1247.442812896688,1,17,1
2017-01-18,4898.54,33,4742.07,3062.33,3736.9842857142858,1336.1886991596239,1,18,2
2017-01-19,5799.98,29,4898.54,3256.45,4100.345714285714,1517.301269885194,1,19,3
2017-01-20,8306.46,29,5799.98,2903.9700000000003,4872.129999999999,2077.809123034802,1,20,4
2017-01-21,6671.86,24,8306.46,1507.36,5609.915714285714,1528.114366857149,1,21,5
2017-01-22,5091.599999999999,31,6671.86,3556.48,5829.2185714285715,1273.1979326408525,1,22,6
2017-01-23,10151.1,39,5091.599999999999,5294.02,6523.087142857143,2030.9375611993753,1,23,0
2017-01-24,9629.76,40,10151.1,4742.07,7221.328571428571,2153.0927675898247,1,24,1
2017-01-25,12596.65,63,9629.76,4898.54,8321.058571428572,2672.3192797545007,1,25,2
2017-01-26,18881.29,86,12596.65,5799.98,10189.817142857142,4538.071956079712,1,26,3
2017-01-27,16037.99,62,18881.29,8306.46,11294.32142857143,4927.459894825558,1,27,4
2017-01-28,5987.98,29,16037.99,6671.86,11196.624285714284,5039.881987152931,1,28,5
2017-01-29,9474.34,35,5987.98,5091.599999999999,11822.73,4384.695841598747,1,29,6
2017-01-30,26778.75,53,9474.34,10151.1,14198.108571428573,7032.59754785155,1,30,0
2017-01-31,17133.19,70,26778.75,9629.76,15270.027142857141,6787.81258305579,1,31,1
2017-02-01,11093.53,73,17133.19,12596.65,15055.295714285714,6909.170402534731,2,1,2
2017-02-02,11854.56,69,11093.53,18881.29,14051.477142857142,6769.696308741663,2,2,3
2017-02-03,12712.47,60,11854.56,16037.99,13576.402857142855,6723.584937044907,2,3,4
2017-02-04,17974.06,67,12712.47,5987.98,15288.699999999999,5950.78514123977,2,4,5
2017-02-05,12141.24,75,17974.06,9474.34,15669.685714285713,5590.985813846124,2,5,6
2017-02-06,12255.9,85,12141.24,26778.75,13594.992857142855,2758.8314151207514,2,6,0
2017-02-07,22192.55,112,12255.9,17133.19,14317.75857142857,4151.49215184705,2,7,1
2017-02-08,16217.77,95,22192.55,11093.53,15049.792857142858,3934.3063069352534,2,8,2
2017-02-09,12017.19,77,16217.77,11854.56,15073.025714285714,3912.714007330709,2,9,3
2017-02-10,17648.34,66,12017.19,12712.47,15778.15,3860.8203791595083,2,10,4
2017-02-11,6554.84,49,17648.34,17974.06,14146.832857142856,5017.546898713604,2,11,5
2017-02-12,17211.37,64,6554.84,12141.24,14871.137142857142,5045.647127111035,2,12,6
2017-02-13,16132.33,78,17211.37,12255.9,15424.912857142857,4921.988062178111,2,13,0
2017-02-14,19003.71,76,16132.33,22192.55,14969.364285714286,4299.418640761632,2,14,1
2017-02-15,8663.64,62,19003.71,16217.77,13890.202857142856,4847.018329322729,2,15,2
2017-02-16,8647.8,55,8663.64,12017.19,13408.861428571428,5217.187998438206,2,16,3
2017-02-17,11948.3,46,8647.8,17648.34,12594.569999999998,4879.085827638893,2,17,4
2017-02-18,13267.33,54,11948.3,6554.84,13553.497142857143,4090.035651196353,2,18,5
2017-02-19,4913.28,40,13267.33,17211.37,11796.62714285714,4831.10620228851,2,19,6
2017-02-20,10772.58,63,4913.28,16132.33,11030.948571428571,4438.168360725813,2,20,0
2017-02-21,11017.15,41,10772.58,19003.71,9890.011428571428,2754.0011209416093,2,21,1
2017-02-22,10848.53,63,11017.15,8663.64,10202.138571428572,2715.3864225522257,2,22,2
2017-02-23,14871.58,59,10848.53,8647.8,11091.25,3111.645370646644,2,23,3
2017-02-24,9898.21,64,14871.58,11948.3,10798.380000000001,3114.011918110359,2,24,4
2017-02-25,7018.62,43,9898.21,13267.33,9905.707142857142,3183.165068050534,2,25,5
2017-02-26,7645.64,46,7018.62,4913.28,10296.044285714286,2579.155941407045,2,26,6
2017-02-27,8805.61,43,7645.64,10772.58,10015.048571428571,2625.3212550557764,2,27,0
2017-02-28,16373.8,55,8805.61,11017.15,10780.284285714286,3575.0124177353464,2,28,1
2017-03-01,23275.08,99,16373.8,10848.53,12555.505714285715,5926.489508171086,3,1,2
2017-03-02,14818.23,72,23275.08,14871.58,12547.884285714286,5923.047946169997,3,2,3
2017-03-03,15974.58,74,14818.23,9898.21,13415.937142857143,5915.260507001406,3,3,4
2017-03-04,18476.55,80,15974.58,7018.62,15052.784285714284,5414.041883137031,3,4,5
2017-03-05,10883.02,74,18476.55,7645.64,15515.267142857143,4776.592440417877,3,5,6
2017-03-06,15934.46,105,10883.02,8805.61,16533.674285714285,3759.236712587009,3,6,0
2017-03-07,19087.99,82,15934.46,16373.8,16921.415714285715,3878.0950873801416,3,7,1
2017-03-08,21757.76,79,19087.99,23275.08,16704.655714285713,3486.4024187255427,3,8,2
2017-03-09,19842.82,93,21757.76,14818.23,17422.454285714284,3549.949308003612,3,9,3
2017-03-10,17167.08,88,19842.82,15974.58,17592.81142857143,3497.107512456693,3,10,4
2017-03-11,15222.7,71,17167.08,18476.55,17127.975714285716,3575.436904640045,3,11,5
2017-03-12,8778.92,64,15222.7,10883.02,16827.390000000003,4218.556060229623,3,12,6
2017-03-13,20573.32,111,8778.92,15934.46,17490.084285714285,4414.706728001532,3,13,0
2017-03-14,22128.65,99,20573.32,19087.99,17924.464285714286,4736.0320995669645,3,14,1
2017-03-15,20709.57,108,22128.65,21757.76,17774.722857142857,4609.513723943547,3,15,2
2017-03-16,24188.43,103,20709.57,19842.82,18395.524285714288,5190.480922698334,3,16,3
2017-03-17,16127.26,65,24188.43,17167.08,18246.97857142857,5246.078534732496,3,17,4
2017-03-18,19397.72,73,16127.26,15222.7,18843.41,5079.630428984651,3,18,5
2017-03-19,8395.68,56,19397.72,8778.92,18788.661428571428,5206.6622885281395,3,19,6
2017-03-20,23558.56,119,8395.68,20573.32,19215.124285714286,5491.657693055475,3,20,0
2017-03-21,17003.25,97,23558.56,22128.65,18482.92428571429,5378.98322477046,3,21,1
2017-03-22,20234.93,105,17003.25,20709.57,18415.11857142857,5349.145613645329,3,22,2
2017-03-23,30982.7,114,20234.93,24188.43,19385.72857142857,6948.603510582619,3,23,3
2017-03-24,15134.18,79,30982.7,16127.26,19243.860000000004,7035.809660432371,3,24,4
2017-03-25,14454.1,76,15134.18,19397.72,18537.628571428573,7262.259676001751,3,25,5
2017-03-26,8600.82,64,14454.1,8395.68,18566.934285714284,7214.771024266491,3,26,6
2017-03-27,22562.67,111,8600.82,23558.56,18424.664285714283,7108.978090557649,3,27,0
2017-03-28,17964.33,103,22562.67,17003.25,18561.961428571427,7086.194941540516,3,28,1
2017-03-29,12499.55,74,17964.33,20234.93,17456.907142857144,7378.922077611147,3,29,2
2017-03-30,14626.82,74,12499.55,30982.7,15120.352857142856,4350.035736940226,3,30,3
2017-03-31,14376.5,70,14626.82,15134.18,15012.112857142856,4359.051503785783,3,31,4
2017-04-01,21242.64,68,14376.5,14454.1,15981.904285714283,4931.744152267894,4,1,5
